sub,condition,run,mae_within,mae_truth,offset,sd_moved,sd_truth
sub-13,preproc,run-02,0.2143676470588235,0.22285294117647053,0.05369117647058822,0.291748350240932,0.2852840347185949
sub-13,preproc,run-03,0.22161764705882353,0.24410294117647058,0.05369117647058822,0.24450495936410685,0.2852840347185949
sub-13,jdac,run-02,0.2711617647058824,0.3078235294117646,0.18733823529411767,0.2888489687258329,0.2852840347185949
sub-13,jdac,run-03,0.3063970588235294,0.3350294117647059,0.18733823529411767,0.2886270286665987,0.2852840347185949
sub-13,jdac_antiartonly,run-02,0.29376470588235293,0.24725000000000003,0.1520735294117647,0.30464652728157504,0.2852840347185949
sub-13,jdac_antiartonly,run-03,0.2727794117647059,0.2474117647058824,0.1520735294117647,0.27534593573967675,0.2852840347185949
sub-13,jdac_nodenoise,run-02,0.32008823529411756,0.21995588235294122,0.21798529411764703,0.3031887250296004,0.2852840347185949
sub-13,jdac_nodenoise,run-03,0.43566176470588236,0.3067352941176471,0.21798529411764703,0.3852979198620775,0.2852840347185949
sub-14,brut,run-02,0.20897058823529416,0.20897058823529416,0.0,0.33395113113966907,0.359018140546463
sub-14,brut,run-03,0.2656470588235294,0.2656470588235294,0.0,0.296320687324748,0.359018140546463
sub-14,preproc,run-02,0.21641176470588233,0.20986764705882355,0.09354411764705886,0.33370887566294183,0.359018140546463
sub-14,preproc,run-03,0.2583529411764706,0.25416176470588236,0.09354411764705886,0.3156425821779015,0.359018140546463
sub-14,jdac,run-02,0.22130882352941175,0.2695882352941177,0.1790735294117647,0.30367295140252554,0.359018140546463
sub-14,jdac,run-03,0.30185294117647066,0.3332205882352941,0.1790735294117647,0.33799622317894457,0.359018140546463
sub-14,jdac_antiartonly,run-02,0.23608823529411768,0.2121470588235294,0.10991176470588238,0.35699658619498403,0.359018140546463
sub-14,jdac_antiartonly,run-03,0.3287647058823529,0.29176470588235287,0.10991176470588238,0.3652759029748851,0.359018140546463
sub-14,jdac_nodenoise,run-02,0.25049999999999994,0.22595588235294115,0.17804411764705874,0.3616799537404093,0.359018140546463
sub-14,jdac_nodenoise,run-03,0.3843676470588235,0.3125588235294117,0.17804411764705874,0.36538795184786144,0.359018140546463
sub-15,brut,run-02,0.25561764705882356,0.25561764705882356,0.0,0.29273666202298904,0.3591567812294136
sub-15,brut,run-03,0.3740294117647059,0.3740294117647059,0.0,0.2451293632778433,0.3591567812294136
sub-15,preproc,run-02,0.2364117647058824,0.23733823529411763,0.07286764705882354,0.3003269929223605,0.3591567812294136
sub-15,preproc,run-03,0.3396911764705882,0.36238235294117643,0.07286764705882354,0.2548982220409723,0.3591567812294136
sub-15,jdac,run-02,0.29658823529411765,0.35966176470588235,0.19433823529411764,0.34276936851361206,0.3591567812294136
sub-15,jdac,run-03,0.36547058823529416,0.42601470588235296,0.19433823529411764,0.2603462925690199,0.3591567812294136
sub-15,jdac_antiartonly,run-02,0.2851323529411765,0.24363235294117647,0.1770588235294118,0.3321764247038922,0.3591567812294136
sub-15,jdac_antiartonly,run-03,0.41395588235294123,0.38783823529411765,0.1770588235294118,0.3350225874607075,0.3591567812294136
sub-15,jdac_nodenoise,run-02,0.28197058823529414,0.2551323529411764,0.20557352941176468,0.3425369186026443,0.3591567812294136
sub-15,jdac_nodenoise,run-03,0.4370441176470589,0.39476470588235296,0.20557352941176468,0.38960219913818495,0.3591567812294136
sub-16,brut,run-02,0.23961764705882355,0.23961764705882355,0.0,0.3292741918451499,0.3425527060950314
sub-16,brut,run-03,0.26873529411764696,0.26873529411764696,0.0,0.26402491601634176,0.3425527060950314
