condition,identifier,aseg_found,lh_aparc_found,rh_aparc_found,stats_dir
preproc,sub-07_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-07_run-02/stats
preproc,sub-07_run-03,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-07_run-03/stats
preproc,sub-08_run-01,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-08_run-01/stats
preproc,sub-08_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-08_run-02/stats
preproc,sub-08_run-03,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-08_run-03/stats
preproc,sub-09_run-01,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-09_run-01/stats
preproc,sub-09_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-09_run-02/stats
preproc,sub-09_run-03,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-09_run-03/stats
preproc,sub-10_run-01,False,False,False,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-10_run-01/stats
preproc,sub-10_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-10_run-02/stats
preproc,sub-10_run-03,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-10_run-03/stats
preproc,sub-11_run-01,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-11_run-01/stats
preproc,sub-11_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-11_run-02/stats
preproc,sub-11_run-03,False,False,False,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-11_run-03/stats
preproc,sub-12_run-01,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-12_run-01/stats
preproc,sub-12_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-12_run-02/stats
preproc,sub-12_run-03,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-12_run-03/stats
preproc,sub-13_run-01,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-13_run-01/stats
preproc,sub-13_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-13_run-02/stats
preproc,sub-13_run-03,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-13_run-03/stats
preproc,sub-14_run-01,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-14_run-01/stats
preproc,sub-14_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-14_run-02/stats
preproc,sub-14_run-03,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-14_run-03/stats
preproc,sub-15_run-01,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-15_run-01/stats
preproc,sub-15_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-15_run-02/stats
preproc,sub-15_run-03,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-15_run-03/stats
preproc,sub-16_run-01,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-16_run-01/stats
preproc,sub-16_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-16_run-02/stats
preproc,sub-16_run-03,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-16_run-03/stats
preproc,sub-17_run-01,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-17_run-01/stats
preproc,sub-17_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-17_run-02/stats
preproc,sub-17_run-03,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-17_run-03/stats
preproc,sub-18_run-01,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-18_run-01/stats
preproc,sub-18_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-18_run-02/stats
preproc,sub-18_run-03,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-18_run-03/stats
preproc,sub-19_run-01,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-19_run-01/stats
