subject,method,run,mae_within,mae_truth,offset,sd_moved,sd_truth
sub-11,jdac_antiartonly,run-03,0.4589558823529412,0.4439264705882353,0.2568235294117647,0.4027999487673173,0.3535804272368904
sub-11,jdac_nodenoise,run-02,0.1292058823529412,0.4113088235294118,0.3752499999999999,0.4524599553485698,0.3535804272368904
sub-11,jdac_nodenoise,run-03,0.5262205882352943,0.3780294117647059,0.3752499999999999,0.4340977069043283,0.3535804272368904
sub-12,brut,run-02,0.3037352941176471,0.3037352941176471,0.0,0.3881684743592549,0.4059399077889892
sub-12,brut,run-03,0.3071911764705882,0.3071911764705882,0.0,0.2857569879979141,0.4059399077889892
sub-12,preproc,run-02,0.2848676470588235,0.29425,0.108735294117647,0.3909553650404441,0.4059399077889892
sub-12,preproc,run-03,0.281970588235294,0.3276470588235294,0.108735294117647,0.3239117374414311,0.4059399077889892
sub-12,jdac,run-02,0.3635588235294117,0.4410735294117648,0.279985294117647,0.4406163045456115,0.4059399077889892
sub-12,jdac,run-03,0.3005588235294117,0.4059558823529411,0.279985294117647,0.3187859680338464,0.4059399077889892
sub-12,jdac_antiartonly,run-02,0.3914558823529411,0.3310441176470588,0.2408529411764706,0.4262690488638779,0.4059399077889892
sub-12,jdac_antiartonly,run-03,0.3631617647058823,0.3108088235294118,0.2408529411764706,0.3348264026772126,0.4059399077889892
sub-12,jdac_nodenoise,run-02,0.3830000000000001,0.3398088235294118,0.3024264705882352,0.4589212242629629,0.4059399077889892
sub-12,jdac_nodenoise,run-03,0.4980441176470588,0.3227647058823529,0.3024264705882352,0.3947695193927913,0.4059399077889892
sub-13,brut,run-02,0.2142647058823529,0.2142647058823529,0.0,0.2732578639021615,0.2852840347185949
sub-13,brut,run-03,0.2178088235294118,0.2178088235294118,0.0,0.2505010536411558,0.2852840347185949
sub-13,preproc,run-02,0.2143676470588235,0.2228529411764705,0.0536911764705882,0.291748350240932,0.2852840347185949
sub-13,preproc,run-03,0.2216176470588235,0.2441029411764705,0.0536911764705882,0.2445049593641068,0.2852840347185949
sub-13,jdac,run-02,0.2711617647058824,0.3078235294117646,0.1873382352941176,0.2888489687258329,0.2852840347185949
sub-13,jdac,run-03,0.3063970588235294,0.3350294117647059,0.1873382352941176,0.2886270286665987,0.2852840347185949
sub-13,jdac_antiartonly,run-02,0.2937647058823529,0.24725,0.1520735294117647,0.304646527281575,0.2852840347185949
sub-13,jdac_antiartonly,run-03,0.2727794117647059,0.2474117647058824,0.1520735294117647,0.2753459357396767,0.2852840347185949
sub-13,jdac_nodenoise,run-02,0.3200882352941175,0.2199558823529412,0.217985294117647,0.3031887250296004,0.2852840347185949
sub-13,jdac_nodenoise,run-03,0.4356617647058823,0.3067352941176471,0.217985294117647,0.3852979198620775,0.2852840347185949
sub-14,brut,run-02,0.2089705882352941,0.2089705882352941,0.0,0.333951131139669,0.359018140546463
sub-14,brut,run-03,0.2656470588235294,0.2656470588235294,0.0,0.296320687324748,0.359018140546463
sub-14,preproc,run-02,0.2164117647058823,0.2098676470588235,0.0935441176470588,0.3337088756629418,0.359018140546463
sub-14,preproc,run-03,0.2583529411764706,0.2541617647058823,0.0935441176470588,0.3156425821779015,0.359018140546463
sub-14,jdac,run-02,0.2213088235294117,0.2695882352941177,0.1790735294117647,0.3036729514025255,0.359018140546463
sub-14,jdac,run-03,0.3018529411764706,0.3332205882352941,0.1790735294117647,0.3379962231789445,0.359018140546463
sub-14,jdac_antiartonly,run-02,0.2360882352941176,0.2121470588235294,0.1099117647058823,0.356996586194984,0.359018140546463
sub-14,jdac_antiartonly,run-03,0.3287647058823529,0.2917647058823528,0.1099117647058823,0.3652759029748851,0.359018140546463
sub-14,jdac_nodenoise,run-02,0.2504999999999999,0.2259558823529411,0.1780441176470587,0.3616799537404093,0.359018140546463
sub-14,jdac_nodenoise,run-03,0.3843676470588235,0.3125588235294117,0.1780441176470587,0.3653879518478614,0.359018140546463
sub-15,brut,run-02,0.2556176470588235,0.2556176470588235,0.0,0.292736662022989,0.3591567812294136
sub-15,brut,run-03,0.3740294117647059,0.3740294117647059,0.0,0.2451293632778433,0.3591567812294136
sub-15,preproc,run-02,0.2364117647058824,0.2373382352941176,0.0728676470588235,0.3003269929223605,0.3591567812294136
sub-15,preproc,run-03,0.3396911764705882,0.3623823529411764,0.0728676470588235,0.2548982220409723,0.3591567812294136
sub-15,jdac,run-02,0.2965882352941176,0.3596617647058823,0.1943382352941176,0.342769368513612,0.3591567812294136
sub-15,jdac,run-03,0.3654705882352941,0.4260147058823529,0.1943382352941176,0.2603462925690199,0.3591567812294136
sub-15,jdac_antiartonly,run-02,0.2851323529411765,0.2436323529411764,0.1770588235294118,0.3321764247038922,0.3591567812294136
sub-15,jdac_antiartonly,run-03,0.4139558823529412,0.3878382352941176,0.1770588235294118,0.3350225874607075,0.3591567812294136
sub-15,jdac_nodenoise,run-02,0.2819705882352941,0.2551323529411764,0.2055735294117646,0.3425369186026443,0.3591567812294136
sub-15,jdac_nodenoise,run-03,0.4370441176470589,0.3947647058823529,0.2055735294117646,0.3896021991381849,0.3591567812294136
sub-16,brut,run-02,0.2396176470588235,0.2396176470588235,0.0,0.3292741918451499,0.3425527060950314
sub-16,brut,run-03,0.2687352941176469,0.2687352941176469,0.0,0.2640249160163417,0.3425527060950314
sub-16,preproc,run-02,0.2442941176470588,0.2659558823529412,0.0874558823529412,0.342166988828662,0.3425527060950314
sub-16,preproc,run-03,0.2250735294117646,0.2624999999999999,0.0874558823529412,0.2701093265475517,0.3425527060950314
